Título,Director,País,Año estreno (Fecha),Año estreno (Número),Fecha adición,Calificación,Duración,Categoría Duración,Latitud Random,Longitud Random
"Crack: Cocaine, Corruption & Conspiracy",Stanley Nelson,United States,1/01/2021,2021,11/01/2021,TV-MA,90,Entre 1 y 2 horas,60.32123355,-95.7903625
What Happened to Mr. Cha?,Kim Dong-kyu,South Korea,1/01/2021,2021,1/01/2021,TV-MA,102,Entre 1 y 2 horas,51.47443378,-175.4433815
What Would Sophia Loren Do?,Ross Kauffman,United States,1/01/2021,2021,15/01/2021,TV-14,32,Menos 1 hora,44.41875352,16.74605239
#Alive,Cho Il,South Korea,1/01/2020,2020,8/09/2020,TV-MA,99,Entre 1 y 2 horas,-30.05848832,-20.06802603
#cats_the_mewvie,Michael Margolis,Canada,1/01/2020,2020,5/02/2020,TV-14,90,Entre 1 y 2 horas,21.1621562,13.30373129
#FriendButMarried 2,Rako Prijanto,Indonesia,1/01/2020,2020,28/06/2020,TV-G,104,Entre 1 y 2 horas,89.18553271,-59.46690689
Òlòtūré,Kenneth Gyang,Nigeria,1/01/2020,2020,2/10/2020,TV-MA,107,Entre 1 y 2 horas,-74.78815019,57.11587542
100% Halal,Jastis Arimba,Indonesia,1/01/2020,2020,7/01/2021,TV-14,101,Entre 1 y 2 horas,-34.79461568,164.8093527
18 Presents,Francesco Amato,Italy,1/01/2020,2020,8/05/2020,TV-MA,114,Entre 1 y 2 horas,30.72686171,2.767254412
365 Days,"Barbara Białowąs, Tomasz Mandes",Poland,1/01/2020,2020,7/06/2020,TV-MA,114,Entre 1 y 2 horas,22.78484258,159.7954679
37 Seconds,Hikari,Japan,1/01/2020,2020,31/01/2020,TV-MA,116,Entre 1 y 2 horas,-75.73621403,-162.3514425
A Babysitter's Guide to Monster Hunting,Rachel Talalay,United States,1/01/2020,2020,15/10/2020,TV-PG,99,Entre 1 y 2 horas,-17.9629223,-148.135559
A California Christmas,Shaun Paul Piccinino,United States,1/01/2020,2020,14/12/2020,PG-13,107,Entre 1 y 2 horas,85.8312809,-105.4704323
A Choo,"Kevin Ko, Peter Tsi",Taiwan,1/01/2020,2020,14/10/2020,TV-14,101,Entre 1 y 2 horas,-3.873131444,55.44473977
A Fall from Grace,Tyler Perry,United States,1/01/2020,2020,17/01/2020,TV-MA,121,Más 2 horas,32.2422698,-170.7406054
A Go! Go! Cory Carson Christmas,"Stanley Moore, Alex Woo",United States,1/01/2020,2020,27/11/2020,TV-Y,22,Menos 1 hora,-31.7986146,-74.91764598
A Life of Speed: The Juan Manuel Fangio Story,Francisco Macri,Argentina,1/01/2020,2020,20/03/2020,TV-14,93,Entre 1 y 2 horas,-19.20322224,-26.26445547
A Love Song for Latasha,Sophia Nahli Allison,United States,1/01/2020,2020,21/09/2020,TV-PG,20,Menos 1 hora,-87.86773177,-33.06175512
A New York Christmas Wedding,Otoja Abit,United States,1/01/2020,2020,5/11/2020,TV-MA,90,Entre 1 y 2 horas,28.43163573,169.2341432
A Secret Love,Chris Bolan,United States,1/01/2020,2020,29/04/2020,TV-14,83,Entre 1 y 2 horas,55.49952704,-99.44454534
A truthful Mother,Ravishankar Venkateswaran,India,1/01/2020,2020,31/03/2020,TV-Y7,85,Entre 1 y 2 horas,41.11389156,173.5833778
A Whisker Away,"Junichi Sato, Tomotaka Shibayama",Japan,1/01/2020,2020,18/06/2020,TV-PG,104,Entre 1 y 2 horas,5.271506015,150.6191592
Adú,Salvador Calvo,Spain,1/01/2020,2020,1/07/2020,TV-MA,120,Entre 1 y 2 horas,41.38732537,-82.75157623
Afonso Padilha: Classless,"Junior Carelli, Rudge Campos",Brazil,1/01/2020,2020,3/09/2020,TV-MA,63,Entre 1 y 2 horas,16.55005039,19.42656068
After We Collided,Roger Kumble,United States,1/01/2020,2020,22/12/2020,R,105,Entre 1 y 2 horas,1.482403298,-151.928246
Airplane Mode,César Rodrigues,United States,1/01/2020,2020,23/01/2020,TV-PG,97,Entre 1 y 2 horas,-37.69836653,130.7527721
